x,y,z
0.0,0.9092974268256817,-1.7568024953079284
0.19866933079506122,0.8084964038195901,-1.8715757724135882
0.3894183423086505,0.6754631805511511,-1.9516020738895161
0.5646424733950355,0.5155013718214642,-1.9936910036334643
0.7173560908995228,0.3349881501559051,-1.9961646088358407
0.8414709848078965,0.1411200080598672,-1.9589242746631386
0.9320390859672263,-0.058374143427580086,-1.8834546557201532
0.9854497299884601,-0.2555411020268312,-1.7727644875559871
0.9995736030415052,-0.4425204432948521,-1.6312666378723217
0.9738476308781953,-0.6118578909427189,-1.4646021794137574
0.9092974268256818,-0.7568024953079283,-1.2794154981989259
0.8084964038195903,-0.8715757724135877,-1.0830894028174973
0.6754631805511511,-0.9516020738895161,-0.8834507951495063
0.5155013718214642,-0.9936910036334644,-0.6884586364866221
0.33498815015590466,-0.9961646088358406,-0.5058866488613911
0.14112000805986677,-0.9589242746631385,-0.34301340128121094
-0.05837414342758053,-0.8834546557201528,-0.20633213615084633
-0.2555411020268321,-0.7727644875559871,-0.10129190418837308
-0.44252044329485324,-0.6312666378723202,-0.032080327968513234
-0.61185789094272,-0.4646021794137566,-0.0014566546253950152
-0.7568024953079289,-0.279415498198925,-0.010641753376618213
-0.8715757724135886,-0.08308940281749552,-0.05926944332022743
-0.9516020738895163,0.11654920485049453,-0.14540109191172046
-0.9936910036334646,0.3115413635133795,-0.2656029021258878
-0.9961646088358406,0.4941133511386097,-0.4150828071082383
-0.958924274663138,0.6569865987187904,-0.587881514758245
-0.8834546557201524,0.7936678638491542,-0.7771100858997558
-0.772764487555986,0.8987080958116277,-0.975224574546644
-0.6312666378723195,0.967919672031487,-1.1743267812229814
-0.46460217941375503,0.9985433453746051,-1.36647912925193
-0.2794154981989233,0.9893582466233812,-1.5440211108893727
-0.08308940281749375,0.9407305566797719,-1.6998746875935449
0.11654920485049629,0.8545989080882795,-1.8278264690856547
0.3115413635133812,0.734397097874111,-1.922775421612808
0.49411335113861127,0.5849171928917588,-1.9809362300664923
0.6569865987187917,0.4121184852417533,-1.9999902065507036
0.7936678638491553,0.2228899141002442,-1.9791777291513166
0.8987080958116285,0.024775425453354216,-1.9193285256646742
0.9679196720314874,-0.1743267812229849,-1.8228285949687058
0.9985433453746052,-0.3664791292519317,-1.6935250847771197
0.9893582466233812,-0.5440211108893728,-1.536572918000432
0.9407305566797719,-0.6998746875935449,-1.3582292822368254
0.8545989080882795,-0.8278264690856547,-1.1656041754483075
0.7343970978741122,-0.9227754216128073,-0.9663769527788615
0.5849171928917617,-0.9809362300664916,-0.768490174898461
